Código,Alias,Descripción Corta,Categoría,Precio
MTR-001,Martillo Industrial,Martillo de acero inoxidable 500g para trabajo pesado,Herramientas,25.99
DST-002,Destornillador Phillips,Destornillador Phillips #2 mango ergonómico,Herramientas,8.50
TLD-003,Taladro Profesional,Taladro eléctrico 800W con brocas incluidas,Máquinas,120.00
LLV-004,Llave Inglesa,Llave inglesa ajustable 10 pulgadas cromada,Herramientas,15.75
TRN-005,Tornillo Hexagonal,Tornillo hexagonal M10x50 acero galvanizado,Fijación,2.30
TRC-006,Tuerca Hexagonal,Tuerca hexagonal M10 acero inoxidable,Fijación,1.80
ARD-007,Arandela Plana,Arandela plana M10 zinc,Fijación,0.50
CBL-008,Cable Eléctrico,Cable eléctrico 12AWG cobre 100m,Eléctrico,45.00
CNT-009,Conector Terminal,Conector terminal eléctrico 16mm²,Eléctrico,3.25
FLT-010,Filtro Hidráulico,Filtro hidráulico 10 micrones 1/2 NPT,Hidráulico,28.50
VLV-011,Válvula Bola,Válvula de bola 1/2 pulgada bronce,Hidráulico,18.90
BCB-012,Bomba Centrífuga,Bomba centrífuga 1HP monofásica,Bombas,350.00
MTR-013,Motor Eléctrico,Motor eléctrico 3HP trifásico 1800RPM,Motores,450.00
RDM-014,Rodamiento,Rodamiento de bolas 6206-2RS,Mecánico,12.75
ENG-015,Engrane Recto,Engrane recto módulo 2 z=20 dientes,Mecánico,35.60
CSC-016,Casco Seguridad,Casco de seguridad industrial amarillo,Seguridad,22.00
GNT-017,Guantes Trabajo,Guantes de trabajo cuero reforzado,Seguridad,18.50
GFS-018,Gafas Protección,Gafas de protección transparentes anti-impacto,Seguridad,12.30
SRR-019,Sierra Circular,Sierra circular 7-1/4 pulgadas 1400W,Herramientas,95.00
CLB-020,Calibrador Digital,Calibrador digital 6 pulgadas acero inoxidable,Medición,65.80